"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","48,453,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","31",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","CORN","CORN, SILAGE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","70,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","CORN","CORN, SILAGE - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","770,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","CORN","CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","11",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","COTTON","COTTON - ACRES HARVESTED","TOTAL","NOT SPECIFIED","375,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","COTTON","COTTON - ACRES PLANTED","TOTAL","NOT SPECIFIED","408,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","COTTON","COTTON - PRODUCTION, MEASURED IN 480 LB BALES","TOTAL","NOT SPECIFIED","292,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","COTTON","COTTON - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","373",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","COTTON","COTTON, COTTONSEED - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","5,760,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","COTTON","COTTON, COTTONSEED - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","121,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","375,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","COTTON","COTTON, UPLAND - ACRES PLANTED","TOTAL","NOT SPECIFIED","408,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","COTTON","COTTON, UPLAND - PRODUCTION, MEASURED IN 480 LB BALES","TOTAL","NOT SPECIFIED","292,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","COTTON","COTTON, UPLAND - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","373",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","HAY","HAY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","433,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","HAY","HAY - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","27,664,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","HAY","HAY - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","907,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","HAY","HAY - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.09",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - ACRES HARVESTED","TOTAL","NOT SPECIFIED","427,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","893,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","HAY","HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.09",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","HAY","HAY, ALFALFA - ACRES HARVESTED","TOTAL","NOT SPECIFIED","6,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","HAY","HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","14,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","HAY","HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.3",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","OATS","OATS - ACRES HARVESTED","TOTAL","NOT SPECIFIED","62,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","OATS","OATS - ACRES PLANTED","TOTAL","NOT SPECIFIED","138,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","OATS","OATS - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","2,196,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","OATS","OATS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","2,852,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","OATS","OATS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","46",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES HARVESTED","TOTAL","NOT SPECIFIED","507,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","PEANUTS","PEANUTS - ACRES PLANTED","TOTAL","NOT SPECIFIED","518,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","PEANUTS","PEANUTS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","1,125,540,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","PEANUTS","PEANUTS - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,220",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","RYE","RYE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","72,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","RYE","RYE - ACRES PLANTED","TOTAL","NOT SPECIFIED","341,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","RYE","RYE - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,656,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","RYE","RYE - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","23",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","SORGHUM","SORGHUM - ACRES PLANTED","TOTAL","NOT SPECIFIED","51,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","SORGHUM","SORGHUM, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","27,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","SORGHUM","SORGHUM, GRAIN - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","1,069,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","SORGHUM","SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","810,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","SORGHUM","SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","30",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","SORGHUM","SORGHUM, SILAGE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","16,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","SORGHUM","SORGHUM, SILAGE - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","176,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","SORGHUM","SORGHUM, SILAGE - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","11",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","SOYBEANS","SOYBEANS - ACRES HARVESTED","TOTAL","NOT SPECIFIED","475,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","SOYBEANS","SOYBEANS - ACRES PLANTED","TOTAL","NOT SPECIFIED","490,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","32,229,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","10,925,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","23",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","TOBACCO","TOBACCO - ACRES HARVESTED","TOTAL","NOT SPECIFIED","66,750",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","TOBACCO","TOBACCO - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","102,260,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","TOBACCO","TOBACCO - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","133,305,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","TOBACCO","TOBACCO - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,997",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","TOBACCO","TOBACCO, CIGAR WRAPPER GA-FL SHADE GROWN (TYPE 62) - ACRES HARVESTED","TOTAL","NOT SPECIFIED","750",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","TOBACCO","TOBACCO, CIGAR WRAPPER GA-FL SHADE GROWN (TYPE 62) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","3,524,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","TOBACCO","TOBACCO, CIGAR WRAPPER GA-FL SHADE GROWN (TYPE 62) - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","1,305,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","TOBACCO","TOBACCO, CIGAR WRAPPER GA-FL SHADE GROWN (TYPE 62) - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","1,740",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","TOBACCO","TOBACCO, FLUE-CURED GA-FLA BELT (TYPE 14) - ACRES HARVESTED","TOTAL","NOT SPECIFIED","66,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","TOBACCO","TOBACCO, FLUE-CURED GA-FLA BELT (TYPE 14) - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","98,736,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","TOBACCO","TOBACCO, FLUE-CURED GA-FLA BELT (TYPE 14) - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","132,000,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","TOBACCO","TOBACCO, FLUE-CURED GA-FLA BELT (TYPE 14) - YIELD, MEASURED IN LB / ACRE","TOTAL","NOT SPECIFIED","2,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","WHEAT","WHEAT - ACRES HARVESTED","TOTAL","NOT SPECIFIED","94,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","WHEAT","WHEAT - ACRES PLANTED","TOTAL","NOT SPECIFIED","118,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","4,487,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","3,478,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","WHEAT","WHEAT - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","37",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","WHEAT","WHEAT, WINTER - ACRES HARVESTED","TOTAL","NOT SPECIFIED","94,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","WHEAT","WHEAT, WINTER - ACRES PLANTED","TOTAL","NOT SPECIFIED","118,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","4,487,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","3,478,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","WHEAT","WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","37",""
"SURVEY","1970","JAN","","STATE","GEORGIA","13","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","1",""
"SURVEY","1970","JAN","","STATE","GEORGIA","13","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","1.4",""
"SURVEY","1970","JAN","","STATE","GEORGIA","13","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","31.5",""
"SURVEY","1970","JAN","","STATE","GEORGIA","13","","","","","","","00000000","","HAY","HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","41",""
"SURVEY","1970","JAN","","STATE","GEORGIA","13","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","0.85",""
"SURVEY","1970","JAN","","STATE","GEORGIA","13","","","","","","","00000000","","RYE","RYE - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2",""
"SURVEY","1970","JAN","","STATE","GEORGIA","13","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.4",""
"SURVEY","1970","JAN","","STATE","GEORGIA","13","","","","","","","00000000","","WHEAT","WHEAT - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","1.4",""
"SURVEY","1970","JAN","","STATE","GEORGIA","13","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","1.4",""
"SURVEY","1970","FEB","","STATE","GEORGIA","13","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","1",""
"SURVEY","1970","FEB","","STATE","GEORGIA","13","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","1.4",""
"SURVEY","1970","FEB","","STATE","GEORGIA","13","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","31.5",""
"SURVEY","1970","FEB","","STATE","GEORGIA","13","","","","","","","00000000","","HAY","HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","41",""
"SURVEY","1970","FEB","","STATE","GEORGIA","13","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","0.85",""
"SURVEY","1970","FEB","","STATE","GEORGIA","13","","","","","","","00000000","","RYE","RYE - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2",""
"SURVEY","1970","FEB","","STATE","GEORGIA","13","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.45",""
"SURVEY","1970","FEB","","STATE","GEORGIA","13","","","","","","","00000000","","WHEAT","WHEAT - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","1.34",""
"SURVEY","1970","FEB","","STATE","GEORGIA","13","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","1.34",""
"SURVEY","1970","FIRST OF MAR","","STATE","GEORGIA","13","","","","","","","00000000","","BARLEY","BARLEY, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","20,000",""
"SURVEY","1970","FIRST OF MAR","","STATE","GEORGIA","13","","","","","","","00000000","","CORN","CORN, GRAIN - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","21,100,000",""
"SURVEY","1970","FIRST OF MAR","","STATE","GEORGIA","13","","","","","","","00000000","","CORN","CORN, OFF FARM, GRAIN - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","4,405,000",""
"SURVEY","1970","FIRST OF MAR","","STATE","GEORGIA","13","","","","","","","00000000","","CORN","CORN, ON FARM, GRAIN - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","16,695,000",""
"SURVEY","1970","FIRST OF MAR","","STATE","GEORGIA","13","","","","","","","00000000","","OATS","OATS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","633,000",""
"SURVEY","1970","FIRST OF MAR","","STATE","GEORGIA","13","","","","","","","00000000","","OATS","OATS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","143,000",""
"SURVEY","1970","FIRST OF MAR","","STATE","GEORGIA","13","","","","","","","00000000","","OATS","OATS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","490,000",""
"SURVEY","1970","FIRST OF MAR","","STATE","GEORGIA","13","","","","","","","00000000","","RYE","RYE - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","309,000",""
"SURVEY","1970","FIRST OF MAR","","STATE","GEORGIA","13","","","","","","","00000000","","RYE","RYE, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","97,000",""
"SURVEY","1970","FIRST OF MAR","","STATE","GEORGIA","13","","","","","","","00000000","","RYE","RYE, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","212,000",""
"SURVEY","1970","FIRST OF MAR","","STATE","GEORGIA","13","","","","","","","00000000","","SORGHUM","SORGHUM, ON FARM, GRAIN - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","224,000",""
"SURVEY","1970","FIRST OF MAR","","STATE","GEORGIA","13","","","","","","","00000000","","SOYBEANS","SOYBEANS - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","7,111,000",""
"SURVEY","1970","FIRST OF MAR","","STATE","GEORGIA","13","","","","","","","00000000","","SOYBEANS","SOYBEANS, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","5,785,000",""
"SURVEY","1970","FIRST OF MAR","","STATE","GEORGIA","13","","","","","","","00000000","","SOYBEANS","SOYBEANS, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,326,000",""
"SURVEY","1970","FIRST OF MAR","","STATE","GEORGIA","13","","","","","","","00000000","","WHEAT","WHEAT - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,116,000",""
"SURVEY","1970","FIRST OF MAR","","STATE","GEORGIA","13","","","","","","","00000000","","WHEAT","WHEAT, OFF FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","850,000",""
"SURVEY","1970","FIRST OF MAR","","STATE","GEORGIA","13","","","","","","","00000000","","WHEAT","WHEAT, ON FARM - STOCKS, MEASURED IN BU","TOTAL","NOT SPECIFIED","266,000",""
"SURVEY","1970","MAR","","STATE","GEORGIA","13","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","1",""
"SURVEY","1970","MAR","","STATE","GEORGIA","13","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","1.43",""
"SURVEY","1970","MAR","","STATE","GEORGIA","13","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","31",""
"SURVEY","1970","MAR","","STATE","GEORGIA","13","","","","","","","00000000","","HAY","HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","39",""
"SURVEY","1970","MAR","","STATE","GEORGIA","13","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","0.82",""
"SURVEY","1970","MAR","","STATE","GEORGIA","13","","","","","","","00000000","","RYE","RYE - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2",""
"SURVEY","1970","MAR","","STATE","GEORGIA","13","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.45",""
"SURVEY","1970","MAR","","STATE","GEORGIA","13","","","","","","","00000000","","WHEAT","WHEAT - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","1.4",""
"SURVEY","1970","MAR","","STATE","GEORGIA","13","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","1.4",""
"SURVEY","1970","APR","","STATE","GEORGIA","13","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","1",""
"SURVEY","1970","APR","","STATE","GEORGIA","13","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","1.45",""
